cliente_id,nombre,edad,ciudad,segmento,ingresos_mensuales,antiguedad_meses,score_credito,riesgo_churn_prob
79,Juanita L.,21,Manizales,Affluent,6938852,7,509,0.509
80,Nathalia Bohórquez,47,Bogotá,Mass,1488790,141,555,0.255
81,Carolina Niño,33,Cali,Mass,6284921,137,605,0.242
82,Ricardo M.,61,Barranquilla,Mass,17663605,27,735,0.416
83,Camilo Suárez,23,Bogotá,Mass,10997444,122,597,0.277
84,Juanita Lozano,59,Bogotá,Affluent,17812451,5,447,0.541
85,María García,26,Medellín,Mass,14433331,29,639,0.455
86,Viviana Roldán,28,Pereira,Mass,4893305,83,776,0.28
87,David Guerrero,47,Pereira,Affluent,17301010,136,460,0.258
88,Carlos Rodríguez,29,Cartagena,Mass,14670137,109,647,0.282
89,Mateo Castaño,57,Medellín,Mass,5666271,65,611,0.391
90,Luisa N.,53,Cali,Mass,22362752,86,830,0.249
91,Gabriela P.,62,Pereira,Mass,2552695,71,866,0.265
92,Camila A.,64,Barranquilla,SME,11695300,45,564,0.504
93,David G.,44,Manizales,Mass,19566444,132,620,0.246
94,Miguel A.,35,Medellín,Mass,2300567,36,836,0.352
95,Carolina Figueroa,52,Manizales,Mass,8906358,70,631,0.372
96,Pablo Rojas,52,Bogotá,Affluent,14401904,19,880,0.319
97,María José,44,Barranquilla,Mass,1249115,108,639,0.288
98,Paula Ortiz,61,Barranquilla,Mass,16623647,91,659,0.315
99,Oscar S.,69,Bogotá,SME,12926298,90,832,0.29
100,Samuel Duarte,69,Medellín,Affluent,18698963,19,816,0.347
